更新时间,#genre#
2024-10-19 18:47:07,url
📺央视频道,#genre#
CCTV1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://112.234.23.81:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://223.75.148.190:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://122.139.47.206:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://119.163.57.184:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://116.226.25.48:4022/rtp/239.45.3.145:5140$1920x1080
CCTV1,http://101.83.173.152:9999/rtp/239.45.3.145:5140$1920x1080
CCTV1,http://116.226.14.76:8888/rtp/239.45.3.145:5140$1920x1080
CCTV1,http://218.78.180.91:9999/rtp/239.45.3.145:5140$1920x1080
CCTV1,http://223.11.153.2:7777/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://223.10.61.150:8083/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://223.10.39.207:8083/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://110.178.77.222:8083/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://223.10.0.119:8083/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://223.10.39.207:8082/rtp/239.1.1.7:8007$1920x1080
CCTV1,http://117.72.68.25:9930/migu.php?id=cctv1
CCTV1,http://[2409:8087:74d9:21::6]/270000001128/9900000001/index.m3u8
